heat_no,grade,width_mm,thickness_mm,stage,enter_time,start_time,proc_end_time,exit_time,equipment,reason_code,due_date
H0002,API5L,1600,220,mold,2026-06-01 07:01:03.057298837,2026-06-01 07:01:03.057298837,2026-06-01 07:23:58.262166328,2026-06-01 07:23:58.262166328,MOLD-1,강종전환셋업,2026-06-01 12:24:16.964611585
H0002,API5L,1600,220,cooling,2026-06-01 07:23:58.262166328,2026-06-01 07:23:58.262166328,2026-06-01 07:41:59.789017282,2026-06-01 07:41:59.789017282,COOLING-2,,2026-06-01 12:24:16.964611585
H0002,API5L,1600,220,yard,2026-06-01 07:41:59.789017282,2026-06-01 07:41:59.789017282,2026-06-01 07:49:05.223288934,2026-06-01 07:49:05.223288934,YARD-1,,2026-06-01 12:24:16.964611585
H0003,API5L,1500,224,ld,2026-06-01 06:42:49.097240691,2026-06-01 06:42:49.097240691,2026-06-01 06:48:27.914592384,2026-06-01 06:48:27.914592384,LD-1,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,lf_wait,2026-06-01 06:48:27.914592384,2026-06-01 06:48:27.914592384,2026-06-01 06:53:45.404637061,2026-06-01 06:53:45.404637061,LF_WAIT-3,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,rh,2026-06-01 06:53:45.404637061,2026-06-01 06:54:30.120750321,2026-06-01 07:15:52.297573661,2026-06-01 07:15:52.297573661,RH-1,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,tundish,2026-06-01 07:15:52.297573661,2026-06-01 07:15:52.297573661,2026-06-01 07:22:29.836133635,2026-06-01 07:23:58.262166328,TUNDISH-1,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,mold,2026-06-01 07:23:58.262166328,2026-06-01 07:23:58.262166328,2026-06-01 07:35:56.874284857,2026-06-01 07:35:56.874284857,MOLD-1,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,cooling,2026-06-01 07:35:56.874284857,2026-06-01 07:35:56.874284857,2026-06-01 07:53:10.208703982,2026-06-01 07:53:10.208703982,COOLING-3,,2026-06-01 10:59:18.903927653
H0003,API5L,1500,224,yard,2026-06-01 07:53:10.208703982,2026-06-01 07:53:10.208703982,2026-06-01 07:59:49.525799457,2026-06-01 07:59:49.525799457,YARD-1,,2026-06-01 10:59:18.903927653
H0004,SUS304,1550,231,ld,2026-06-01 07:01:39.216598502,2026-06-01 07:01:39.216598502,2026-06-01 07:09:07.707960993,2026-06-01 07:09:07.707960993,LD-1,,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,lf_wait,2026-06-01 07:09:07.707960993,2026-06-01 07:09:07.707960993,2026-06-01 07:15:33.908724096,2026-06-01 07:15:33.908724096,LF_WAIT-1,,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,lf,2026-06-01 07:15:33.908724096,2026-06-01 07:15:33.908724096,2026-06-01 07:36:56.020753617,2026-06-01 07:36:56.020753617,LF-1,,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,tundish,2026-06-01 07:36:56.020753617,2026-06-01 07:36:56.020753617,2026-06-01 07:55:56.765785000,2026-06-01 07:55:56.765785000,TUNDISH-1,온도조정,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,mold,2026-06-01 07:55:56.765785000,2026-06-01 07:55:56.765785000,2026-06-01 08:17:56.557108007,2026-06-01 08:17:56.557108007,MOLD-1,강종전환셋업,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,cooling,2026-06-01 08:17:56.557108007,2026-06-01 08:17:56.557108007,2026-06-01 08:38:24.696072957,2026-06-01 08:38:24.696072957,COOLING-4,,2026-06-01 13:18:15.454140467
H0004,SUS304,1550,231,yard,2026-06-01 08:38:24.696072957,2026-06-01 08:38:24.696072957,2026-06-01 08:44:42.585374323,2026-06-01 08:44:42.585374323,YARD-1,,2026-06-01 13:18:15.454140467
H0005,SS400,1050,233,ld,2026-06-01 07:22:33.511276686,2026-06-01 07:22:33.511276686,2026-06-01 07:28:57.124006398,2026-06-01 07:28:57.124006398,LD-1,,2026-06-01 15:50:45.273289864
H0005,SS400,1050,233,lf_wait,2026-06-01 07:28:57.124006398,2026-06-01 07:28:57.124006398,2026-06-01 07:35:04.818477528,2026-06-01 07:35:04.818477528,LF_WAIT-2,,2026-06-01 15:50:45.273289864
H0005,SS400,1050,233,tundish,2026-06-01 07:35:04.818477528,2026-06-01 07:55:56.765785000,2026-06-01 08:01:54.893272894,2026-06-01 08:17:56.557108007,TUNDISH-1,,2026-06-01 15:50:45.273289864
H0005,SS400,1050,233,mold,2026-06-01 08:17:56.557108007,2026-06-01 08:17:56.557108007,2026-06-01 08:37:46.062351095,2026-06-01 08:37:46.062351095,MOLD-1,강종전환셋업,2026-06-01 15:50:45.273289864
H0005,SS400,1050,233,cooling,2026-06-01 08:37:46.062351095,2026-06-01 08:37:46.062351095,2026-06-01 08:59:16.058808070,2026-06-01 08:59:16.058808070,COOLING-1,,2026-06-01 15:50:45.273289864
H0005,SS400,1050,233,yard,2026-06-01 08:59:16.058808070,2026-06-01 08:59:16.058808070,2026-06-01 09:04:45.096216318,2026-06-01 09:04:45.096216318,YARD-1,,2026-06-01 15:50:45.273289864
H0006,SS400,1450,248,ld,2026-06-01 07:45:23.013222806,2026-06-01 07:45:23.013222806,2026-06-01 07:51:05.216856083,2026-06-01 07:51:05.216856083,LD-1,,2026-06-01 14:33:52.890798955
H0006,SS400,1450,248,lf_wait,2026-06-01 07:51:05.216856083,2026-06-01 07:51:05.216856083,2026-06-01 07:58:26.926900121,2026-06-01 07:58:26.926900121,LF_WAIT-3,,2026-06-01 14:33:52.890798955
H0006,SS400,1450,248,tundish,2026-06-01 07:58:26.926900121,2026-06-01 08:17:56.557108007,2026-06-01 08:23:19.052558996,2026-06-01 08:37:46.062351095,TUNDISH-1,,2026-06-01 14:33:52.890798955
H0006,SS400,1450,248,mold,2026-06-01 08:37:46.062351095,2026-06-01 08:37:46.062351095,2026-06-01 08:57:38.778853215,2026-06-01 08:57:38.778853215,MOLD-1,폭변경셋업,2026-06-01 14:33:52.890798955
H0006,SS400,1450,248,cooling,2026-06-01 08:57:38.778853215,2026-06-01 08:57:38.778853215,2026-06-01 09:15:03.570908790,2026-06-01 09:15:03.570908790,COOLING-2,,2026-06-01 14:33:52.890798955
H0006,SS400,1450,248,yard,2026-06-01 09:15:03.570908790,2026-06-01 09:15:03.570908790,2026-06-01 09:20:10.038234308,2026-06-01 09:20:10.038234308,YARD-1,,2026-06-01 14:33:52.890798955
H0007,SS400,1500,297,ld,2026-06-01 08:04:42.876451327,2026-06-01 08:04:42.876451327,2026-06-01 08:11:54.231125383,2026-06-01 08:11:54.231125383,LD-1,,2026-06-01 17:33:15.637781175
H0007,SS400,1500,297,lf_wait,2026-06-01 08:11:54.231125383,2026-06-01 08:11:54.231125383,2026-06-01 08:18:32.239852643,2026-06-01 08:18:32.239852643,LF_WAIT-1,,2026-06-01 17:33:15.637781175
H0007,SS400,1500,297,tundish,2026-06-01 08:18:32.239852643,2026-06-01 08:37:46.062351095,2026-06-01 08:43:14.071205766,2026-06-01 08:57:38.778853215,TUNDISH-1,,2026-06-01 17:33:15.637781175
H0007,SS400,1500,297,mold,2026-06-01 08:57:38.778853215,2026-06-01 08:57:38.778853215,2026-06-01 09:10:26.120013889,2026-06-01 09:10:26.120013889,MOLD-1,,2026-06-01 17:33:15.637781175
H0007,SS400,1500,297,cooling,2026-06-01 09:10:26.120013889,2026-06-01 09:10:26.120013889,2026-06-01 09:43:03.871978422,2026-06-01 09:43:03.871978422,COOLING-3,설비점검,2026-06-01 17:33:15.637781175
H0007,SS400,1500,297,yard,2026-06-01 09:43:03.871978422,2026-06-01 09:43:03.871978422,2026-06-01 09:48:25.980930868,2026-06-01 09:48:25.980930868,YARD-1,,2026-06-01 17:33:15.637781175
H0008,API5L,1600,239,ld,2026-06-01 08:25:57.468554481,2026-06-01 08:25:57.468554481,2026-06-01 08:32:25.167954372,2026-06-01 08:32:25.167954372,LD-1,,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,lf_wait,2026-06-01 08:32:25.167954372,2026-06-01 08:32:25.167954372,2026-06-01 08:39:16.562648029,2026-06-01 08:39:16.562648029,LF_WAIT-2,,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,rh,2026-06-01 08:39:16.562648029,2026-06-01 08:39:16.562648029,2026-06-01 09:09:03.881716387,2026-06-01 09:09:03.881716387,RH-1,,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,tundish,2026-06-01 09:09:03.881716387,2026-06-01 09:09:03.881716387,2026-06-01 09:14:27.991230045,2026-06-01 09:14:27.991230045,TUNDISH-1,,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,mold,2026-06-01 09:14:27.991230045,2026-06-01 09:14:27.991230045,2026-06-01 09:36:12.129355030,2026-06-01 09:36:12.129355030,MOLD-1,강종전환셋업,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,cooling,2026-06-01 09:36:12.129355030,2026-06-01 09:36:12.129355030,2026-06-01 09:55:52.177927382,2026-06-01 09:55:52.177927382,COOLING-4,,2026-06-01 13:52:40.294951341
H0008,API5L,1600,239,yard,2026-06-01 09:55:52.177927382,2026-06-01 09:55:52.177927382,2026-06-01 10:03:11.941470374,2026-06-01 10:03:11.941470374,YARD-1,,2026-06-01 13:52:40.294951341
H0009,SS400,1550,239,ld,2026-06-01 08:47:35.758151999,2026-06-01 08:47:35.758151999,2026-06-01 08:53:35.530704363,2026-06-01 08:53:35.530704363,LD-1,,2026-06-01 16:49:24.196480185
H0009,SS400,1550,239,lf_wait,2026-06-01 08:53:35.530704363,2026-06-01 08:53:35.530704363,2026-06-01 08:59:46.544708723,2026-06-01 08:59:46.544708723,LF_WAIT-3,,2026-06-01 16:49:24.196480185
H0009,SS400,1550,239,tundish,2026-06-01 08:59:46.544708723,2026-06-01 09:14:27.991230045,2026-06-01 09:37:08.210911988,2026-06-01 09:37:08.210911988,TUNDISH-1,래들지연,2026-06-01 16:49:24.196480185
H0009,SS400,1550,239,mold,2026-06-01 09:37:08.210911988,2026-06-01 09:37:08.210911988,2026-06-01 09:57:37.104614373,2026-06-01 09:57:37.104614373,MOLD-1,강종전환셋업,2026-06-01 16:49:24.196480185
H0009,SS400,1550,239,cooling,2026-06-01 09:57:37.104614373,2026-06-01 09:57:37.104614373,2026-06-01 10:27:01.258614978,2026-06-01 10:27:01.258614978,COOLING-1,래들지연,2026-06-01 16:49:24.196480185
H0009,SS400,1550,239,yard,2026-06-01 10:27:01.258614978,2026-06-01 10:27:01.258614978,2026-06-01 10:32:47.359340988,2026-06-01 10:32:47.359340988,YARD-1,,2026-06-01 16:49:24.196480185
H0010,SS400,1550,273,ld,2026-06-01 09:09:18.290795933,2026-06-01 09:09:18.290795933,2026-06-01 09:15:32.398899717,2026-06-01 09:15:32.398899717,LD-1,,2026-06-01 14:36:47.031231680
H0010,SS400,1550,273,lf_wait,2026-06-01 09:15:32.398899717,2026-06-01 09:15:32.398899717,2026-06-01 09:20:51.981814411,2026-06-01 09:20:51.981814411,LF_WAIT-1,,2026-06-01 14:36:47.031231680
H0010,SS400,1550,273,tundish,2026-06-01 09:20:51.981814411,2026-06-01 09:37:08.210911988,2026-06-01 09:43:05.229761576,2026-06-01 09:57:37.104614373,TUNDISH-1,,2026-06-01 14:36:47.031231680
H0010,SS400,1550,273,mold,2026-06-01 09:57:37.104614373,2026-06-01 09:57:37.104614373,2026-06-01 10:11:57.889597903,2026-06-01 10:11:57.889597903,MOLD-1,,2026-06-01 14:36:47.031231680
H0010,SS400,1550,273,cooling,2026-06-01 10:11:57.889597903,2026-06-01 10:11:57.889597903,2026-06-01 10:31:58.182368833,2026-06-01 10:31:58.182368833,COOLING-2,,2026-06-01 14:36:47.031231680
H0010,SS400,1550,273,yard,2026-06-01 10:31:58.182368833,2026-06-01 10:31:58.182368833,2026-06-01 10:37:12.910593900,2026-06-01 10:37:12.910593900,YARD-1,,2026-06-01 14:36:47.031231680
H0011,API5L,1000,231,ld,2026-06-01 09:28:45.981617313,2026-06-01 09:28:45.981617313,2026-06-01 09:34:12.167868094,2026-06-01 09:34:12.167868094,LD-1,,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,lf_wait,2026-06-01 09:34:12.167868094,2026-06-01 09:34:12.167868094,2026-06-01 09:40:24.786309943,2026-06-01 09:40:24.786309943,LF_WAIT-2,,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,rh,2026-06-01 09:40:24.786309943,2026-06-01 09:40:24.786309943,2026-06-01 10:01:32.208005646,2026-06-01 10:01:32.208005646,RH-1,,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,tundish,2026-06-01 10:01:32.208005646,2026-06-01 10:01:32.208005646,2026-06-01 10:08:41.467238161,2026-06-01 10:11:57.889597903,TUNDISH-1,,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,mold,2026-06-01 10:11:57.889597903,2026-06-01 10:11:57.889597903,2026-06-01 10:44:07.447016798,2026-06-01 10:44:07.447016798,MOLD-1,강종전환셋업,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,cooling,2026-06-01 10:44:07.447016798,2026-06-01 10:44:07.447016798,2026-06-01 11:04:50.987314534,2026-06-01 11:04:50.987314534,COOLING-3,,2026-06-01 16:41:49.753901776
H0011,API5L,1000,231,yard,2026-06-01 11:04:50.987314534,2026-06-01 11:04:50.987314534,2026-06-01 11:10:55.510938879,2026-06-01 11:10:55.510938879,YARD-1,,2026-06-01 16:41:49.753901776
H0012,API5L,1000,221,ld,2026-06-01 09:50:30.953548554,2026-06-01 09:50:30.953548554,2026-06-01 09:56:15.142788930,2026-06-01 09:56:15.142788930,LD-1,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,lf_wait,2026-06-01 09:56:15.142788930,2026-06-01 09:56:15.142788930,2026-06-01 10:02:26.663993826,2026-06-01 10:02:26.663993826,LF_WAIT-3,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,rh,2026-06-01 10:02:26.663993826,2026-06-01 10:02:26.663993826,2026-06-01 10:32:02.078954961,2026-06-01 10:32:02.078954961,RH-1,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,tundish,2026-06-01 10:32:02.078954961,2026-06-01 10:32:02.078954961,2026-06-01 10:38:28.109593531,2026-06-01 10:44:07.447016798,TUNDISH-1,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,mold,2026-06-01 10:44:07.447016798,2026-06-01 10:44:07.447016798,2026-06-01 10:55:04.028502476,2026-06-01 10:55:04.028502476,MOLD-1,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,cooling,2026-06-01 10:55:04.028502476,2026-06-01 10:55:04.028502476,2026-06-01 11:17:20.510948142,2026-06-01 11:17:20.510948142,COOLING-4,,2026-06-01 19:45:13.624574196
H0012,API5L,1000,221,yard,2026-06-01 11:17:20.510948142,2026-06-01 11:17:20.510948142,2026-06-01 11:23:44.587057139,2026-06-01 11:23:44.587057139,YARD-1,,2026-06-01 19:45:13.624574196
H0013,SUS304,1500,261,ld,2026-06-01 10:12:00.684091900,2026-06-01 10:12:00.684091900,2026-06-01 10:17:29.354404723,2026-06-01 10:17:29.354404723,LD-1,,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,lf_wait,2026-06-01 10:17:29.354404723,2026-06-01 10:17:29.354404723,2026-06-01 10:22:46.890455717,2026-06-01 10:22:46.890455717,LF_WAIT-1,,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,lf,2026-06-01 10:22:46.890455717,2026-06-01 10:22:46.890455717,2026-06-01 10:42:21.945621703,2026-06-01 10:42:21.945621703,LF-1,,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,tundish,2026-06-01 10:42:21.945621703,2026-06-01 10:44:07.447016798,2026-06-01 10:49:47.316377678,2026-06-01 10:55:04.028502476,TUNDISH-1,,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,mold,2026-06-01 10:55:04.028502476,2026-06-01 10:55:04.028502476,2026-06-01 11:17:01.068774149,2026-06-01 11:17:01.068774149,MOLD-1,강종전환셋업,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,cooling,2026-06-01 11:17:01.068774149,2026-06-01 11:17:01.068774149,2026-06-01 11:36:46.641586612,2026-06-01 11:36:46.641586612,COOLING-1,,2026-06-01 19:18:59.433760142
H0013,SUS304,1500,261,yard,2026-06-01 11:36:46.641586612,2026-06-01 11:36:46.641586612,2026-06-01 11:43:16.690396269,2026-06-01 11:43:16.690396269,YARD-1,,2026-06-01 19:18:59.433760142
H0014,API5L,1050,285,ld,2026-06-01 10:33:51.886032189,2026-06-01 10:33:51.886032189,2026-06-01 10:39:54.879194126,2026-06-01 10:39:54.879194126,LD-1,,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,lf_wait,2026-06-01 10:39:54.879194126,2026-06-01 10:39:54.879194126,2026-06-01 10:45:44.078773617,2026-06-01 10:45:44.078773617,LF_WAIT-2,,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,rh,2026-06-01 10:45:44.078773617,2026-06-01 10:45:44.078773617,2026-06-01 11:13:21.152721247,2026-06-01 11:13:21.152721247,RH-1,,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,tundish,2026-06-01 11:13:21.152721247,2026-06-01 11:13:21.152721247,2026-06-01 11:19:33.145836504,2026-06-01 11:19:33.145836504,TUNDISH-1,,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,mold,2026-06-01 11:19:33.145836504,2026-06-01 11:19:33.145836504,2026-06-01 11:40:58.395473082,2026-06-01 11:40:58.395473082,MOLD-1,강종전환셋업,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,cooling,2026-06-01 11:40:58.395473082,2026-06-01 11:40:58.395473082,2026-06-01 11:58:10.962052254,2026-06-01 11:58:10.962052254,COOLING-2,,2026-06-01 15:59:47.502608691
H0014,API5L,1050,285,yard,2026-06-01 11:58:10.962052254,2026-06-01 11:58:10.962052254,2026-06-01 12:05:23.806493264,2026-06-01 12:05:23.806493264,YARD-1,,2026-06-01 15:59:47.502608691
H0015,SS400,1050,256,ld,2026-06-01 10:55:20.098789113,2026-06-01 10:55:20.098789113,2026-06-01 11:01:54.180387377,2026-06-01 11:01:54.180387377,LD-1,,2026-06-01 19:08:36.561171000
H0015,SS400,1050,256,lf_wait,2026-06-01 11:01:54.180387377,2026-06-01 11:01:54.180387377,2026-06-01 11:30:27.799194945,2026-06-01 11:30:27.799194945,LF_WAIT-3,온도조정,2026-06-01 19:08:36.561171000
H0015,SS400,1050,256,tundish,2026-06-01 11:30:27.799194945,2026-06-01 11:30:27.799194945,2026-06-01 11:37:47.972064623,2026-06-01 11:40:58.395473082,TUNDISH-1,,2026-06-01 19:08:36.561171000
H0015,SS400,1050,256,mold,2026-06-01 11:40:58.395473082,2026-06-01 11:40:58.395473082,2026-06-01 12:02:58.503770729,2026-06-01 12:02:58.503770729,MOLD-1,강종전환셋업,2026-06-01 19:08:36.561171000
H0015,SS400,1050,256,cooling,2026-06-01 12:02:58.503770729,2026-06-01 12:02:58.503770729,2026-06-01 12:23:37.227778208,2026-06-01 12:23:37.227778208,COOLING-3,,2026-06-01 19:08:36.561171000
H0015,SS400,1050,256,yard,2026-06-01 12:23:37.227778208,2026-06-01 12:23:37.227778208,2026-06-01 12:29:23.800681297,2026-06-01 12:29:23.800681297,YARD-1,,2026-06-01 19:08:36.561171000
H0016,SS400,1550,281,ld,2026-06-01 11:16:24.699075694,2026-06-01 11:16:24.699075694,2026-06-01 11:22:06.860535992,2026-06-01 11:22:06.860535992,LD-1,,2026-06-01 18:18:21.534730610
H0016,SS400,1550,281,lf_wait,2026-06-01 11:22:06.860535992,2026-06-01 11:22:06.860535992,2026-06-01 11:27:20.175576679,2026-06-01 11:27:20.175576679,LF_WAIT-1,,2026-06-01 18:18:21.534730610
H0016,SS400,1550,281,tundish,2026-06-01 11:27:20.175576679,2026-06-01 11:40:58.395473082,2026-06-01 12:01:44.049267328,2026-06-01 12:02:58.503770729,TUNDISH-1,래들지연,2026-06-01 18:18:21.534730610
H0016,SS400,1550,281,mold,2026-06-01 12:02:58.503770729,2026-06-01 12:02:58.503770729,2026-06-01 12:20:16.861686376,2026-06-01 12:20:16.861686376,MOLD-1,폭변경셋업,2026-06-01 18:18:21.534730610
H0016,SS400,1550,281,cooling,2026-06-01 12:20:16.861686376,2026-06-01 12:20:16.861686376,2026-06-01 12:39:33.187628302,2026-06-01 12:39:33.187628302,COOLING-4,,2026-06-01 18:18:21.534730610
H0016,SS400,1550,281,yard,2026-06-01 12:39:33.187628302,2026-06-01 12:39:33.187628302,2026-06-01 12:44:40.580065045,2026-06-01 12:44:40.580065045,YARD-1,,2026-06-01 18:18:21.534730610
H0017,API5L,1050,269,ld,2026-06-01 11:34:08.646753134,2026-06-01 11:34:08.646753134,2026-06-01 11:40:34.210367065,2026-06-01 11:40:34.210367065,LD-1,,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,lf_wait,2026-06-01 11:40:34.210367065,2026-06-01 11:40:34.210367065,2026-06-01 11:45:46.233722641,2026-06-01 11:45:46.233722641,LF_WAIT-2,,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,rh,2026-06-01 11:45:46.233722641,2026-06-01 11:45:46.233722641,2026-06-01 12:15:07.692416700,2026-06-01 12:15:07.692416700,RH-1,,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,tundish,2026-06-01 12:15:07.692416700,2026-06-01 12:15:07.692416700,2026-06-01 12:20:19.437279148,2026-06-01 12:20:19.437279148,TUNDISH-1,,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,mold,2026-06-01 12:20:19.437279148,2026-06-01 12:20:19.437279148,2026-06-01 12:43:47.968513210,2026-06-01 12:43:47.968513210,MOLD-1,강종전환셋업,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,cooling,2026-06-01 12:43:47.968513210,2026-06-01 12:43:47.968513210,2026-06-01 13:03:07.838193480,2026-06-01 13:03:07.838193480,COOLING-1,,2026-06-01 17:47:03.712018597
H0017,API5L,1050,269,yard,2026-06-01 13:03:07.838193480,2026-06-01 13:03:07.838193480,2026-06-01 13:10:34.070724739,2026-06-01 13:10:34.070724739,YARD-1,,2026-06-01 17:47:03.712018597
H0018,API5L,1050,220,ld,2026-06-01 11:58:54.289447903,2026-06-01 11:58:54.289447903,2026-06-01 12:26:38.509142564,2026-06-01 12:26:38.509142564,LD-1,온도조정,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,lf_wait,2026-06-01 12:26:38.509142564,2026-06-01 12:26:38.509142564,2026-06-01 12:33:37.172798009,2026-06-01 12:33:37.172798009,LF_WAIT-1,,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,rh,2026-06-01 12:33:37.172798009,2026-06-01 12:33:37.172798009,2026-06-01 13:00:27.039304479,2026-06-01 13:00:27.039304479,RH-1,,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,tundish,2026-06-01 13:00:27.039304479,2026-06-01 13:00:27.039304479,2026-06-01 13:06:08.775387199,2026-06-01 13:06:08.775387199,TUNDISH-1,,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,mold,2026-06-01 13:06:08.775387199,2026-06-01 13:06:08.775387199,2026-06-01 13:19:42.743505383,2026-06-01 13:19:42.743505383,MOLD-1,,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,cooling,2026-06-01 13:19:42.743505383,2026-06-01 13:19:42.743505383,2026-06-01 13:35:17.472535894,2026-06-01 13:35:17.472535894,COOLING-2,,2026-06-01 20:50:46.958598615
H0018,API5L,1050,220,yard,2026-06-01 13:35:17.472535894,2026-06-01 13:35:17.472535894,2026-06-01 13:40:52.211023417,2026-06-01 13:40:52.211023417,YARD-1,,2026-06-01 20:50:46.958598615
H0019,SS400,1600,229,ld,2026-06-01 12:16:53.501651329,2026-06-01 12:16:53.501651329,2026-06-01 12:22:56.880752242,2026-06-01 12:22:56.880752242,LD-1,,2026-06-01 20:14:30.218398699
H0019,SS400,1600,229,lf_wait,2026-06-01 12:22:56.880752242,2026-06-01 12:22:56.880752242,2026-06-01 12:28:12.877340913,2026-06-01 12:28:12.877340913,LF_WAIT-3,,2026-06-01 20:14:30.218398699
H0019,SS400,1600,229,tundish,2026-06-01 12:28:12.877340913,2026-06-01 13:06:08.775387199,2026-06-01 13:12:05.340429786,2026-06-01 13:19:42.743505383,TUNDISH-1,,2026-06-01 20:14:30.218398699
H0019,SS400,1600,229,mold,2026-06-01 13:19:42.743505383,2026-06-01 13:19:42.743505383,2026-06-01 13:44:14.162742248,2026-06-01 13:44:14.162742248,MOLD-1,강종전환셋업,2026-06-01 20:14:30.218398699
H0019,SS400,1600,229,cooling,2026-06-01 13:44:14.162742248,2026-06-01 13:44:14.162742248,2026-06-01 13:59:44.086173419,2026-06-01 13:59:44.086173419,COOLING-3,,2026-06-01 20:14:30.218398699
H0019,SS400,1600,229,yard,2026-06-01 13:59:44.086173419,2026-06-01 13:59:44.086173419,2026-06-01 14:05:27.701161699,2026-06-01 14:05:27.701161699,YARD-1,,2026-06-01 20:14:30.218398699
H0020,API5L,1000,213,ld,2026-06-01 12:39:23.177101197,2026-06-01 12:39:23.177101197,2026-06-01 12:46:22.422758858,2026-06-01 12:46:22.422758858,LD-1,,2026-06-01 18:43:50.018713480
